S-No.,variant 1,variant 2,variant 3,variant 4,variant 5,variant 6
1124,128.962,127.655,136.4,1.268,1.277,0
1125,124.776,129.798,140.906,1.017,1.179,2
1126,133.665,130.174,149.111,1.201,1.094,1
1127,125.131,122.166,140.709,1.276,1.142,0
1128,123.35,122.976,143.049,1.083,1.166,5
1129,135.449,120.059,147.484,1.245,1.38,2
1130,121.912,134.494,152.527,0.961,1.114,1
1131,136.435,128.332,144.05,1.085,1.038,4
1132,131.439,132.61,145.775,1.251,1.341,1
1133,134.703,122.64,144.208,1.258,1.376,5
1134,125.561,127.132,141.775,1.263,1.024,5
1135,124.629,129.66,139.952,1.336,1.287,5
1136,123.52,131.44,148.478,1.053,1.093,1
1137,132.444,123.337,147.438,1.023,1.048,1
1138,132.417,121.434,145.23,1.135,1.221,2
1139,129.117,122.735,151.883,1.198,1.169,1
1140,133.34,124.297,136.059,1.399,1.329,0
1141,124.028,122.129,139.749,1.348,1.137,4
1142,130.789,128.138,136.537,1.283,1.321,3
1143,130.83,120.575,143.158,1.247,1.035,1
1144,125.065,120.479,142.113,1.111,1.33,4
1145,130.021,124.652,149.103,1.113,1.129,3
1146,137.504,134.388,143.09,1.203,1.2,1
1147,134.725,128.824,152.862,1.03,1.075,5
1148,131.577,129.056,142.026,1.386,1.221,3
1149,132.389,124.346,151.437,1.111,1.006,4
1150,129.325,131.099,151.245,1.317,1.12,2
1151,131.357,126.197,142.154,1.394,1.047,4
1152,137.448,131.372,141.219,1.095,1.286,3
1153,123.943,123.043,143.573,1.251,1.049,2
1154,134.634,121.444,137.21,1.283,1.27,4
1155,134.668,134.771,143.294,1.194,1.371,5
1156,137.996,122.188,149.742,1.186,1.02,0
1157,125.13,129.962,146.97,1.335,1.113,5
1158,121.013,122.399,146.513,1.206,1.243,2
1159,135.411,121.56,136.731,1.151,1.102,4
1160,132.929,131.324,152.005,1.134,1.225,3
1161,131.347,124.572,150.148,1.029,1.205,4
1162,122.965,132.773,153.16,1.232,1.15,1
1163,134.96,122.677,143.774,1.05,1.095,1
1164,137.9,128.18,142.231,1.388,1.391,4
1165,123.208,132.042,136.818,1.054,1.396,5
1166,121.364,121.543,148.181,1.304,1.278,2
1167,132.836,133.824,149.671,1.328,1.239,1
1168,137.645,133.415,140.452,1.025,1.022,1
1169,123.592,134.806,144.726,0.996,1.011,0
1170,130.891,121.424,146.113,1.049,1.159,0
1171,127.026,120.308,148.021,1.198,1.365,3
1172,135.93,121.82,151.97,1.259,1.103,1
1173,122.102,130.422,144.741,1.017,1.238,1
1174,135.495,130.431,152.995,1.374,1.15,3
1175,131.623,127.681,147.338,0.959,1.016,3
1176,125.917,133.077,135.095,1.263,1.17,3
1177,136.769,130.886,144.9,1.272,1.069,0
1178,122.066,128.512,149.074,0.979,1.331,2
1179,124.813,125.458,146.981,0.961,1.192,3
1180,132.524,133.883,149.737,1.02,1.152,3
1181,137.311,123.587,145.057,1.1,1.3,4
1182,136.298,125.248,152.49,1.25,1.245,4
1183,127.506,127.399,142.354,0.95,1.211,2
1184,132.554,123.871,137.169,1.021,1.138,1
1185,121.449,125.044,135.636,1.051,1.11,5
1186,127.053,126.733,136.695,0.972,1.351,5
1187,128.721,127.605,151.502,1.257,1.104,1
1188,131.745,127.973,145.896,1.384,1.363,0
1189,131.585,129.326,148.358,1.228,1.172,3
1190,124.58,125.917,140.018,1.234,1.248,2
1191,134.95,122.032,153.079,1.028,1.274,1
1192,121.631,129.106,139.703,1.329,1.225,3
1193,136.624,132.309,143.571,1.331,1.32,5
1194,135.867,129.854,149.505,1.303,1.02,0
1195,126.2,129.718,138.736,1.085,1.38,2
1196,137.845,129.929,135.068,0.964,1.372,2
1197,127.651,133.116,137.891,1.243,1.114,5
1198,131.764,120.119,139.309,1.394,1.267,0
1199,125.521,130.823,152.923,1.394,1.127,1
1200,124.461,121.779,148.417,1.17,1.066,4
1201,122.318,130.78,138.86,1.121,1.063,0
1202,123.441,122.068,141.321,1.13,1.289,0
1203,134.751,126.687,153.666,1.214,1.04,2
1204,134.249,124.544,148.413,1.07,1.288,0
1205,127.026,132.443,149.511,1.323,1.225,2
1206,122.628,125.121,153.831,1.308,1.304,4
1207,133.201,125.775,138.48,1.042,1.399,2
1208,123.764,133.589,153.848,1.293,1.388,0
1209,126.613,126.71,146.71,1.342,1.128,4
1210,132.967,132.846,150.47,1.261,1.14,5
1211,136.342,130.601,135.682,1.244,1.096,1
1212,123.79,129.79,151.355,1.257,1.306,0
1213,132.094,124.569,150.648,0.983,1.122,1
1214,122.374,122.818,142.75,1.396,1.066,1
1215,127.972,128.957,142.911,1.151,1.296,1
1216,124.93,126.025,144.538,0.984,1.113,1
1217,131.656,121.536,145.855,1.278,1.356,1
1218,121.197,132.392,142.527,1.291,1.266,0
1219,128.875,132.185,153.177,1.139,1.28,5
1220,132.829,134.702,135.854,1.168,1.107,2
1221,128.892,131.693,152.417,0.964,1.343,2
1222,132.16,134.493,148.663,0.962,1.262,0
1223,122.967,123.628,146.791,1.051,1.093,2
1224,129.54,128.722,142.629,1.25,1.322,4
1225,133.174,121.299,152.03,1.226,1.234,3
1226,129.2,129.999,148.999,1.146,1.195,5
1227,132.652,134.445,151.499,1.156,1.301,5
1228,130.124,127.746,140.652,1.266,1.326,3
1229,129.289,124.768,149.115,1.264,1.223,1
1230,128.633,125.152,153.928,1.319,1.004,4
1231,130.466,121.246,147.192,1.007,1.377,1
1232,126.151,122.262,135.543,1.225,1.369,1
1233,121.999,132.686,144.84,1.236,1.255,4
1234,136.143,132.496,140.592,1.261,1.038,1
1235,131.067,128.733,146.814,1.125,1.176,2
1236,121.885,121.341,135.934,1.371,1.146,4
1237,127.735,134.831,138.742,1.317,1.357,3
1238,132.573,129.225,145.05,1.245,1.339,1
1239,130.912,126.752,144.696,1.331,1.371,5
1240,125.944,130.896,150.12,1.035,1.277,2
1241,127.608,129.581,145.371,1.342,1.186,1
1242,127.459,133.341,153.182,1.053,1.066,5
1243,127.012,130.758,146.125,1.399,1.37,2
1244,136.123,128.148,139.944,0.998,1.191,2
1245,136.083,130.189,152.726,1.003,1.236,4
1246,133.401,125.268,138.51,1.319,1.247,2
1247,121.505,128.608,138.797,0.987,1.111,0
1248,136.02,126.89,147.654,1.215,1.096,0
1249,122.619,134.293,137.783,1.328,1.126,0
1250,137.724,128.593,138.324,1.084,1.388,3
1251,127.449,131.435,135.284,1.116,1.141,5
1252,126.411,133.471,140.233,1.136,1.205,2
1253,121.707,122.393,147.94,1.381,1.235,1
1254,128.387,127.146,147.707,1.229,1.298,4
1255,129.943,133.681,147.515,1.159,1.301,4
1256,135.782,127.028,149.38,1.397,1.199,2
1257,129.542,129.295,138.48,0.976,1.051,2
1258,129.289,125.012,141.254,1.2,1.335,2
1259,130.495,126.737,141.769,0.97,1.36,4
1260,123,130.086,151.129,0.978,1.088,0
1261,131.793,128.408,148.596,1.329,1.097,5
1262,137.511,121.476,153.787,1.157,1.242,5
1263,124.697,122.112,138.055,1.074,1.374,3
1264,125.104,120.897,140.639,1.142,1.393,4
1265,122.059,129.185,139.945,1.346,1.255,2
1266,136.871,128.315,151.009,1.241,1.381,4
1267,125.679,133.153,139.742,1.017,1.143,4
1268,137.475,132.138,150.295,1.243,1.272,4
1269,125.913,121.381,152.392,1.146,1.276,1
1270,121.395,126.645,152.946,1.187,1.049,0
1271,121.353,131.573,140.594,1,1.247,4
1272,121.173,131.746,145.367,1.216,1.259,4
1273,125.335,127.945,146.955,1.354,1.014,0
1274,127.529,129.676,152.107,1.2,1.282,1
1275,130.868,123.85,138.895,1.036,1.294,0
1276,122.055,124.554,143.12,0.999,1.088,3
1277,135.979,120.785,145.345,1.124,1.247,3
1278,125.085,125.014,141.947,1.054,1.354,3
1279,128.418,121.839,135.13,1.127,1.141,2
1280,133.558,126.898,140.105,1.019,1.046,1
1281,132.183,127.79,152.565,1.093,1.044,0
1282,129.342,129.975,139.372,1.389,1.031,1
1283,137.796,134.419,152.043,1.342,1.31,4
1284,126.108,126.913,149.913,1.037,1.262,5
1285,134.439,122.393,136.752,1.05,1.177,0
1286,124.389,120.12,136.835,1.23,1.061,2
1287,121.267,128.021,145.615,1.261,1.067,0
1288,132.937,133.179,141.561,0.963,1.274,4
1289,127.93,126.175,144.353,1.304,1.168,2
1290,122.689,122.465,145.921,1.233,1.128,3
1291,123.223,133.902,145.041,1.284,1.028,4
1292,125.236,122.905,145.885,1.179,1.28,3
1293,135.032,125.329,150.257,1.208,1.376,4
1294,124.986,132.313,150.761,1.226,1.249,0
1295,134.714,122.694,137,1.371,1.33,5
1296,130.416,130.247,149.853,1.123,1.192,3
1297,134.185,133.573,141.212,0.961,1.187,3
1298,124.286,134.7,141.354,1.267,1.108,3
1299,121.076,125.928,142.723,1.081,1.346,0
1300,134.031,127.794,141.462,1.146,1.369,0
1301,131.312,130.702,142.313,1.199,1.345,5
1302,134.626,129.284,152.831,1.254,1.393,5
1303,123.637,124.887,146.344,1.227,1.111,5
1304,121.404,120.87,143.865,1.118,1.197,1
1305,123.695,134.416,143.707,1.036,1.342,2
1306,135.793,120.606,148.303,0.985,1.14,0
1307,135.371,121.995,136.306,1.252,1.315,1
1308,125.328,130.056,139.822,1.013,1.344,0
1309,128.671,133.024,140.54,0.983,1.271,5
1310,126.649,129.37,141.837,1.202,1.366,0
1311,136.203,127.622,138.471,1.344,1.353,2
1312,130.354,129.633,152.241,1.115,1.211,1
1313,131.118,126.819,150.407,1.186,1.109,1
1314,136.325,132.962,140.248,1.134,1.105,4
1315,131.123,125.048,151.07,1.362,1.111,2
1316,122.832,125.189,147.071,1.173,1.173,4
1317,124.276,128.699,139.564,1.204,1.13,1
1318,134.027,130.222,148.586,1.166,1.139,0
1319,128.948,130.319,152.013,1.295,1.383,2
1320,137.513,126.606,147.057,1.018,1.035,1
1321,125.037,120.7,136.487,1.138,1.16,1
1322,128.68,129.685,148.848,1.351,1.115,5
1323,134.056,123.855,152.168,1.255,1.136,2
1324,126.838,126.424,137.611,1.103,1.307,3
1325,128.273,129.322,142.18,1.2,1.077,3
1326,122.343,121.412,146.866,1.087,1.071,1
1327,132.132,126.688,140.882,1.326,1.359,1
1328,132.973,124.561,147.282,1.332,1.345,3
1329,135.615,130.816,143.334,1.155,1.25,3
1330,137.702,128.347,146.245,1.397,1.367,1
1331,128.727,129.989,147.728,1.174,1.19,1
1332,127.457,131.783,146.732,1.055,1.118,4
1333,129.14,127.935,146.114,1.288,1.091,3
1334,137.874,132.332,139.587,1.217,1.14,1
1335,124.477,121.148,139.346,1.352,1.128,2
1336,121.207,122.513,140.195,1.285,1.022,2
1337,123.818,131.056,145.643,1.051,1.005,3
1338,123.577,134.772,152.672,1.061,1.202,4
1339,127.232,134.861,150.338,1.283,1.21,3
1340,136.778,131.624,148.256,1.032,1.395,4
1341,131.848,123.764,135.003,1.132,1.109,0
1342,122.457,134.234,144.019,1.375,1.331,1
1343,127.09,127.843,136.881,1.32,1.382,3
1344,133.132,121.045,145.932,1.106,1.366,4
1345,124.462,127.584,153.696,1.318,1.319,4
1346,125.218,129.713,149.262,1.293,1.391,3
1347,125.675,126.243,147.68,1.056,1.247,5
1348,137.728,133.661,144.066,1.113,1.129,1
1349,126.319,120.986,135.757,1.287,1.033,2
1350,128.054,133.737,144.569,1.34,1.355,3
1351,124.759,133.793,145.534,1.258,1.272,1
1352,128.171,121.433,136.503,1.14,1.084,2
1353,135.547,128.896,150.562,0.963,1.073,1
1354,129.596,120.395,145.78,1.126,1.184,3
1355,126.853,121.464,153.973,1.227,1.372,3
1356,137.732,128.804,142.171,0.964,1.342,2
1357,126.26,129.611,148.244,1.222,1.256,4
1358,137.15,131.592,135.539,1.28,1.138,3
1359,121.816,134.203,148.041,1.009,1.084,3
1360,124.53,129.708,151.881,1.175,1.032,0
1361,133.483,132.85,135.827,1.011,1.285,4
1362,126.756,120.469,144.508,1.388,1.283,0
1363,132.086,128.505,141.902,1.02,1.264,5
1364,131.13,131.379,138.515,1.365,1.011,0
1365,125.963,127.899,143.294,1.4,1.264,4
1366,133.418,126.183,144.327,1.205,1.087,4
1367,137.677,125.747,135.314,1.016,1.03,5
1368,125.915,134.209,149.992,1.297,1.07,0
1369,133.649,121.774,135.671,1.359,1.015,3
1370,130.426,133.177,140.068,1.105,1.088,5
1371,136.134,125.06,149.085,1.187,1.314,1
1372,137.083,128.189,143.361,1.205,1.126,4
1373,125.483,133.332,135.509,1.204,1.019,1
1374,128.29,126.828,136.718,1.3,1.197,0
1375,133.96,132.366,152.049,1.073,1.394,2
1376,133.794,124.584,143.995,1.31,1.271,4
1377,125.95,122.481,137.592,1.013,1.077,1
1378,129.067,126.782,136.503,1.392,1.02,1
1379,134.621,122.324,141.657,1.139,1.362,1
1380,137.624,132.61,147.717,1.328,1.042,5
1381,136.607,132.991,136.191,1.004,1.369,4
1382,121.492,127.946,144.405,1.154,1.384,5
1383,128.532,128.109,148.699,1.296,1.281,2
1384,121.233,134.041,143.392,1.071,1.18,0
1385,129.08,131.17,151.337,0.999,1.245,3
1386,123.195,130.326,142.516,1.335,1.199,2
1387,137.335,134.016,144.951,1.286,1.028,4
1388,126.982,134.466,141.19,1.375,1.195,3
1389,125.868,127.698,148.652,1.09,1.035,5
1390,133.026,129.532,143.068,1.257,1.381,0
1391,122.531,134.263,135.393,1.039,1.223,1
1392,133.637,124.338,140.265,1.051,1.006,3
1393,126.347,126.716,144.784,1.252,1.117,2
1394,129.571,131.275,138.379,1.053,1.202,3
1395,133.085,134.072,139.46,1.134,1.04,1
1396,124.022,120.869,140.405,1.031,1.055,2
1397,132.518,125.008,148.305,1.152,1.229,1
1398,123.579,121.205,152.529,1.37,1.35,1
1399,126.373,124.581,146.359,0.954,1.289,2
1400,130.185,130.459,151.758,0.957,1.223,2
1401,122.789,121.411,148.889,1.204,1.211,4
1402,123.532,125.821,144.779,1.361,1.099,2
1403,133.095,129.543,142.56,1.354,1.365,3
1404,132.558,132.374,149.948,1.067,1.071,4
1405,121.327,133.075,138.552,1.147,1.057,3
1406,133.16,133.505,152.912,1.343,1.38,0
1407,123.423,128.711,137.794,1.153,1.282,4
1408,133.232,126.133,151.425,0.959,1.162,3
1409,128.204,134.077,140.304,1.388,1.05,3
1410,132.753,123.608,148.755,1.235,1.13,3
1411,124.05,124.839,135.832,1.315,1.34,0
1412,123.543,127.595,138.97,1.066,1.346,3
1413,125.005,121.494,139.75,1.164,1.282,3
1414,129.292,129.456,138.883,1.209,1.135,1
1415,136.338,126.575,143.528,0.991,1.162,3
1416,132.62,129.564,137.517,1.118,1.394,3
1417,137.8,133.09,152.206,0.985,1.233,0
1418,137.051,123.21,152.722,1.196,1.08,5
1419,121.844,132.106,153.88,1.203,1.233,0
1420,124.425,127.259,135.42,1.356,1.079,5
1421,122.468,122.383,152.556,1.084,1.017,5
1422,122.189,132.073,142.702,1.179,1.152,5
1423,133.936,129.509,140.372,0.974,1.164,1
1424,127.712,124.39,139.919,1.025,1.218,2
1425,135.25,123.158,143.607,0.995,1.324,0
1426,125.944,131.221,138.437,1.132,1.11,0
1427,127.709,122.534,135.768,1.285,1.023,4
1428,134.225,125.184,145.638,1.394,1.329,1
1429,128.752,129.841,139.121,1.221,1.4,5
1430,124.828,128.735,142.02,0.974,1.159,3
1431,121.671,121.218,136.396,1.065,1.319,4
1432,123.938,131.833,148.119,1.372,1.108,4
1433,137.977,122.085,145.027,1.397,1.225,4
1434,121.732,121.627,152.036,1.163,1.082,3
1435,131.989,124.297,146.325,0.985,1.313,0
1436,126.734,131.931,150.539,1,1.026,3
1437,122.295,128.393,147.784,1.254,1.017,1
1438,128.62,129.7,150.615,0.998,1.094,0
1439,137.539,123.43,138.397,1.166,1.087,1
1440,134.535,124.885,140.841,1.03,1.109,2
1441,123.996,130.337,138.621,1.255,1.117,0
1442,132.838,132.612,144.883,1.041,1.178,0
1443,137.623,127.9,135.943,1.14,1.346,2
1444,135.525,123.833,138.522,1.14,1.336,3
1445,128.173,126.912,153.607,0.975,1.296,5
1446,136.256,125.362,147.531,1.363,1.048,0
1447,134.149,132.089,139.844,1.102,1.274,5
1448,129.251,134.363,148.291,1.104,1.196,4
1449,129.178,120.49,146.693,1.393,1.387,4
1450,133.392,129.509,145.463,1.389,1.315,2
1451,127.064,132.685,141.961,0.958,1.286,0
1452,125.616,122.175,137.867,1.129,1.196,1
1453,128.858,121.359,152.214,1.034,1.27,3
1454,135.252,127.356,141.964,1.147,1.269,3
1455,135.251,130.8,153.763,0.958,1.4,1
1456,137.291,121.917,150.112,1.063,1.167,2
1457,122.72,122.274,148.59,1.058,1.054,2
1458,132.437,127.388,137.91,1.311,1.251,2
1459,137.601,133.883,142.97,1.109,1.262,0
1460,126.612,125.152,136.256,1.385,1.102,0
1461,130.112,127.064,149.905,1.305,1.203,3
1462,131.408,124.609,137.418,1.367,1.207,0
1463,121.164,124.325,148.264,0.969,1.328,2
1464,123.57,127.091,135.264,1.312,1.043,5
1465,133.457,128.584,147.537,1.359,1.187,3
1466,135.386,121.317,141.928,1.034,1.247,5
1467,134.084,132.073,137.552,1.28,1.001,0
1468,136.587,121.306,151.72,0.974,1.382,0
1469,132.679,132.792,150.005,1.074,1.345,3
1470,134.828,121.18,143.969,1.194,1.35,0
1471,129.505,123.753,147.049,1.179,1.268,0
1472,132.607,128.734,144.615,1.128,1.169,5
1473,123.276,129.118,147.874,1.34,1.248,2
1474,130.68,129.474,140.784,1.111,1.314,1
1475,130.618,122.14,151.985,1.167,1.272,4
1476,122.428,131.035,136.317,1.221,1.251,2
1477,130.827,134.96,141.146,1.088,1.014,5
1478,131.877,126.034,136.282,1.29,1.341,1
1479,121.074,121.178,141.905,1.185,1.25,1
1480,125.708,122.859,150.558,1.312,1.204,3
1481,130.184,134.327,135.055,1.348,1.372,2
1482,132.855,128.45,136.316,1.197,1.017,1
1483,123.543,122.627,142.938,1.34,1.026,2
1484,123.3,128.6,150.61,1.338,1.008,5
1485,125.16,134.666,148.743,1.06,1.111,5
1486,133.4,127.988,135.395,1.057,1.284,5
1487,134.668,122.405,144.643,1.208,1.346,3
1488,121.144,127.595,135.789,1.108,1.055,3
1489,122.579,129.751,137.156,1.373,1.086,3
1490,134.752,122.661,151.712,1.059,1.299,0
1491,125.163,123.263,145.513,1.013,1.132,3
1492,130.428,122.427,136.999,1.269,1.15,2
1493,137.519,129.416,137.892,1.146,1.11,1
1494,136.744,123.235,143.009,1.266,1.202,3
1495,130.225,123.646,147.591,1.257,1.291,2
1496,126.91,126.077,143.84,1.271,1.334,0
1497,135.76,127.497,135.943,1.166,1.178,3
1498,135.778,123.709,146.658,1.271,1.057,5
1499,131.966,129.625,144.203,1.247,1.288,2
1500,132.148,132.63,150.421,1.046,1.271,3
1501,122.073,129.798,145.977,1.276,1.069,2
1502,128.473,129.93,144.496,1.365,1.306,5
1503,131.245,127.351,142.397,1.313,1.168,4
1504,130.534,129.229,137.667,1.139,1.18,0
1505,135.003,132.521,147.951,1.066,1.068,1
1506,131.312,134.942,145.234,1.086,1.381,2
1507,127.601,122.425,140.434,1.19,1.302,0
1508,122.364,133.027,146.656,0.981,1.271,5
1509,137.841,125.341,138.143,1.367,1.169,5
1510,135.928,126.17,146.48,1.375,1.256,4
1511,135.656,124.987,141.719,1.3,1.207,2
1512,124.905,126.83,137.594,1.012,1.099,2
1513,134.195,127.068,140.186,1.251,1.15,5
1514,133.342,123.638,142.167,1.316,1.187,3
1515,125.384,131.735,135.385,1.107,1.283,5
1516,132.382,130.564,138.556,0.973,1.057,5
1517,134.933,122.492,139.115,1.218,1.36,4
1518,136.097,124.853,139.802,1.376,1.395,5
1519,136.913,125.204,147.553,1.018,1.141,4
1520,130.442,126.027,138.533,1.051,1.119,4
1521,131.901,133.769,148.959,1.131,1.088,2
1522,133.289,128.17,138.676,1.338,1.133,3
1523,136.715,125.114,149.503,1.385,1.075,1
1524,134.616,121.281,141.976,1.309,1.12,0
1525,136.69,133.92,140.013,1.277,1.135,3
1526,134.383,128.436,137.244,1.123,1.273,2
1527,136.125,134.211,137.826,1.154,1.107,4
1528,128.817,123.607,141.546,1.346,1.355,0
1529,134.724,129.12,144.75,1.391,1.096,3
1530,129.601,129.379,149.689,1.083,1.005,4
1531,135.645,134.923,145.486,1.318,1.148,3
1532,131.484,130.344,143.393,1.21,1.151,4
1533,129.004,126.17,150.974,1.236,1.057,5
1534,124.07,128.953,139.949,1.169,1.187,4
1535,127.599,132.913,153.022,1.096,1.313,4
1536,132.33,134.123,150.631,1.072,1.261,5
1537,126.587,121.111,140.25,1.162,1.152,3
1538,121.555,122.093,150.292,1.344,1.258,5
1539,121.758,121.024,151.819,1.069,1.204,0
1540,122.523,129.022,140.278,1.16,1.082,5
1541,132.565,121.795,152.821,1.286,1.194,3
1542,122.85,128.429,142.782,1.262,1.04,1
1543,129.55,126.989,146.831,1.213,1.388,4
1544,133.912,133.21,141.971,1.14,1.058,5
1545,124.313,121.944,146.493,1.233,1.294,3
1546,136.072,132.551,138.855,1.271,1.132,3
1547,133.686,122.94,140.15,1.137,1.185,3
1548,129.528,120.002,153.167,1.353,1.232,5
1549,129.061,126.421,141.992,0.978,1.295,3
1550,126.586,124.377,153.332,1.127,1.317,1
1551,122.259,134.014,142.269,1.29,1.293,0
1552,136.036,126.536,139.939,1.031,1.033,0
1553,135.043,124.134,138.216,1.179,1.351,2
1554,131.062,121.84,137.596,1.315,1.342,5
1555,130.712,128.253,137.71,1.229,1.284,0
1556,125.918,121.829,146.517,1.108,1.035,1
1557,129.45,125.002,146.223,1.14,1.38,3
1558,130.251,133.938,139.7,1.114,1.4,2
1559,137.624,134.293,151.266,0.994,1.373,2
1560,125.324,123.221,137.636,1.224,1.246,3
1561,122.215,123.984,146.808,1.004,1.065,4
1562,130.877,130.236,150.152,1.046,1.072,1
1563,137.522,123.959,149.111,1.336,1.181,0
1564,131.007,130.01,145.141,1.104,1.346,4
1565,134.439,131.899,138.482,0.962,1.112,3
1566,121.853,124.835,150.522,0.972,1.04,3
1567,127.729,129.42,151.342,1.351,1.199,3
1568,121.659,124.65,145.385,1.178,1.1,4
1569,131.566,124.967,137.868,0.997,1.359,2
1570,121.151,126.986,148.062,1.36,1.16,3
1571,134.507,129.688,153.102,1.186,1.298,0
1572,131.513,120.621,150.111,0.955,1.157,1
1573,137.03,130.795,140.95,1.129,1.333,0
1574,122.62,126.75,141.266,0.98,1.399,0
1575,132.836,129.745,142.155,0.955,1.4,1
1576,122.973,124.138,143.427,1.158,1.263,0
1577,134.17,121.26,142.773,1.014,1.073,0
1578,134.663,130.688,140.028,0.973,1.269,2
1579,131.011,120.087,136.049,1.148,1.038,4
1580,124.857,131.133,144.078,1.076,1.268,0
1581,126.082,128.081,139.68,1.173,1.15,1
1582,129.067,131.637,135.654,1.128,1.086,4
1583,126.984,120.429,148.175,1.29,1.385,2
1584,128.285,128.155,137.593,1.085,1.221,5
1585,132.713,126.677,142.67,1.204,1.03,4
1586,134.185,130.197,137.517,1.017,1.36,0
1587,127.188,131.479,151.046,0.993,1.118,0
1588,136.743,129.821,146.252,1.378,1.105,5
1589,122.545,123.198,147.144,1.325,1.028,4
1590,126.087,128.963,148.709,1.184,1.189,5
1591,126.655,122.527,138.98,1.259,1.397,1
1592,129.077,126.944,139.418,1.155,1.129,2
1593,129.908,127.975,135.662,1.027,1.211,0
1594,132.567,126.869,153.884,0.954,1.222,5
1595,126.772,133.836,150.338,1.009,1.257,1
1596,128.91,130.645,144.488,1.18,1.283,2
1597,136.599,128.235,137.559,1.333,1.116,2
1598,127.878,126.694,144.238,1.217,1.377,5
1599,137.652,127.187,135.788,1.231,1.336,1
1600,125.726,130.69,144.755,1.147,1.133,1
1601,123.331,129.313,142.733,1.236,1.184,2
1602,121.04,130.277,141.092,1.132,1.104,0
1603,135.243,121.88,139.756,1.087,1.218,2
1604,134.176,132.472,148.179,1.111,1.15,3
1605,125.029,129.945,140.179,1.218,1.369,2
1606,134.039,128.926,141.582,0.996,1.107,1
1607,133.987,128.792,140.946,1.15,1.307,2
1608,130.182,126.744,148.815,1.262,1.187,3
1609,133.059,120.139,145.281,1.055,1.1,5
1610,136.672,130.763,147.741,1.176,1.336,4
1611,136.922,132.464,152.017,1.113,1.29,4
1612,125.482,124.493,141.033,1.27,1.043,0
1613,136.013,134.307,138.802,1.248,1.266,3
1614,132.738,131.294,143.405,1.362,1.167,2
1615,122.648,133.903,143.801,1.068,1.307,5
1616,130.731,129.246,146.156,1.335,1.096,1
1617,122.285,123.552,147.93,1.155,1.16,2
1618,125.387,125.468,142.561,1.327,1.379,2
1619,133.344,122.848,138.158,1.006,1.199,1
1620,137.119,125.393,141.017,1.195,1.355,0
1621,127.606,126.927,150.983,1.004,1.137,2
1622,122.72,127.615,142.137,1.221,1.214,5
1623,137.79,123.814,138.51,0.996,1.337,4
1624,131.698,130.651,153.912,1.385,1.017,5
1625,128.561,134.187,148.464,0.978,1.171,2
1626,136.648,132.203,144.597,1.202,1.005,5
1627,127.652,121.316,136.947,1.013,1.031,1
1628,124.552,124.594,139.299,1.186,1.383,4
1629,123.966,125.159,137.878,1.152,1.025,5
1630,128.914,124.921,144.812,1.253,1.216,0
1631,121.144,122.123,141.16,1.263,1.294,4
1632,136.615,133.778,144.401,1.209,1.015,0
1633,130.224,122.443,141.909,1.052,1.052,3
1634,137.741,120.418,135.959,1.198,1.149,5
1635,123.221,122.927,147.122,1.062,1.003,1
1636,126.974,132.265,144.802,1.009,1.322,2
1637,130.059,126.221,142.647,1.047,1.241,3
1638,131.238,122.485,148.958,1.039,1.106,2
1639,132.079,121.823,150.105,1.077,1.064,1
1640,124.636,132.672,151.767,1.329,1.067,4
1641,124.822,126.774,145.044,1.268,1.322,4
1642,121.661,124.915,141.314,1.384,1.321,5
1643,132.657,121.757,150.261,1.177,1.257,3
1644,127.413,128.64,150.102,1.034,1.255,0
1645,128.116,132.029,149.608,1.319,1.225,5
1646,125.631,133.01,144.775,1.168,1.212,4
1647,123.574,133.002,135.932,1.179,1.014,4
1648,121.701,133.894,151.633,1.132,1.323,0
1649,122.276,126.761,146.537,0.954,1.311,3
1650,136.502,128.389,136.13,1.042,1.33,4
1651,133.562,126.288,150.938,1.244,1.319,3
1652,122.211,129.545,142.072,1.344,1.249,1
1653,137.219,125.651,144.227,1.24,1.268,2
1654,130.44,126.912,145.991,0.953,1.398,4
1655,125.748,132.2,141.006,1.194,1.328,5
1656,133.528,133.932,148.505,1.248,1.296,0
1657,132.326,134.974,150.942,1.219,1.025,1
1658,121.555,127.51,146.692,0.989,1.017,2
1659,121.827,133.345,147.871,0.984,1.293,4
1660,123.906,126.338,138.108,1.259,1.33,1
1661,129.142,134.311,145.899,1.072,1.1,5
1662,136.935,130.637,149.941,1.071,1.14,0
1663,137.554,129.047,146.832,1.345,1.358,2
1664,128.573,129.029,151.546,1.138,1.387,2
1665,122.63,128.017,145.307,1.381,1.271,2
1666,134.836,123.131,145.486,1.1,1.251,2
1667,124.006,121.363,151.236,1.287,1.185,1
1668,129.403,126.425,141.638,1.399,1.008,2
1669,132.93,125.229,142.341,1.321,1.327,5
1670,131.137,130.576,147.222,1.394,1.09,2
1671,122.069,123.98,151.792,1.132,1.056,0
1672,131.275,131.792,141.854,1.393,1.029,1
1673,134.783,121.352,148.987,1.087,1.055,1
1674,124.968,134.95,142.484,1.178,1.06,5
1675,136.147,131.224,143.963,1.253,1.274,5
1676,122.598,121.7,147.304,1.257,1.198,1
1677,127.954,122.067,148.026,1.393,1.097,0
1678,134.019,130.319,139.504,1.228,1.107,4
1679,123.718,129.636,140.734,1.313,1.053,0
1680,137.966,124.839,136.631,0.988,1.172,3
1681,136.998,128.905,143.61,1.228,1.267,4
